,FY2012 Ranking,FY2011 Ranking,FY2010 Ranking,Industry,Total Engineering,Aero/Astro-Engineering,Bio-Engineering,Chemical Engineering,Civil Engineering,Eng - Electrical,Eng - Materials,Eng - Mechanical,Total Physical Sciences,Chemistry,Physics,Astronomy,Total Environmental Sci,Atmospheric,Earth Sciences,Oceanographic,Mathematical,Computer Science,Total Life Sciences,Agricultural,Biological,Medical,Psychology,Total Social Sciences,Economics,Political Science,Sociology,Number In Top Ten Fields/Subfields
Johns Hopkins,1,1,1,13,1,1,3,7,25,1,73,1,3,24,1,6,19,22,91,21,1,3,2,-,8,5,68,71,87,191,21,14
U. Michigan,2,2,2,18,7,15,24,17,24,7,15,8,22,11,22,22,48,-,13,-,8,77,4,51,14,8,5,1,1,1,2,11
U. Wisconsin,3,4,3,36,18,-,41,18,20,49,37,40,12,27,10,21,16,5,39,46,27,15,7,27,10,9,66,4,5,34,7,8
U. Washington,4,3,4,46,19,27,4,35,21,17,42,37,23,10,25,18,1,7,44,4,2,44,8,54,21,10,50,75,-,53,27,7
UC San Diego,5,6,6,6,15,-,5,-,-,5,-,19,16,8,11,-,3,9,5,2,42,8,12,210,86,4,4,38,52,13,42,10
UC San Francisco,6,7,8,10,-,-,-,-,-,-,-,-,85,39,-,-,-,-,-,-,-,-,1,-,100,1,-,-,-,-,-,2
Duke,7,5,5,1,47,-,11,-,82,23,59,65,61,70,44,-,42,-,88,36,13,80,3,-,5,3,13,22,29,8,20,4
UC Los Angeles     ,8,8,7,11,34,-,58,47,75,25,29,20,13,25,5,-,41,24,28,-,22,25,6,-,109,2,20,10,117,76,22,4
Stanford            ,9,9,9,9,14,17,12,13,27,14,48,13,10,16,71,-,29,-,25,43,18,19,17,-,20,19,29,27,27,18,37,1
Columbia,10,12,12,21,45,40,17,66,66,28,119,67,25,51,15,17,7,10,2,-,34,18,14,82,13,12,59,23,80,17,15,3
UNC Chapel Hill,11,17,15,31,205,-,65,-,-,-,-,-,43,18,57,-,27,-,11,29,36,29,10,-,11,18,1,3,186,38,1,4
U. Pittsburgh,12,10,11,75,94,-,31,45,114,117,125,69,51,35,83,37,75,-,111,-,45,62,5,-,15,6,39,109,123,101,143,6
U. Penn,13,11,10,17,61,-,30,69,-,37,30,53,44,43,32,-,170,-,112,-,53,24,9,68,6,7,39,25,85,46,17,3
U. Minnesota   ,14,13,13,27,23,28,13,15,16,43,-,18,32,44,20,38,55,-,21,-,14,28,15,12,31,15,8,14,11,14,6,2
MIT,15,20,23,2,3,7,1,2,15,6,3,6,4,9,4,9,18,14,18,32,20,7,94,-,47,115,120,36,10,20,295,12
Cornell,16,16,17,26,27,-,48,46,61,41,22,35,6,20,9,7,44,-,37,91,47,21,18,23,26,17,52,16,4,163,11,4
Harvard,17,27,31,24,58,-,63,65,93,76,25,82,14,5,17,14,34,67,47,-,17,161,21,193,2,47,78,5,40,3,52,4
Penn State 2012,18,15,14,22,4,8,76,16,11,4,1,4,18,17,13,15,13,8,8,34,10,10,48,10,65,60,3,17,32,33,3,12
Ohio State,19,14,16,3,12,63,98,26,23,18,7,5,35,42,29,32,67,-,31,-,21,11,24,18,45,26,26,26,24,21,31,2
UC Berkeley,20,21,19,4,11,-,114,39,6,3,123,192,9,13,24,3,63,110,23,-,30,-,62,22,50,73,49,6,2,22,24,6
