University,FY2024 Ranking,Total R&D ($K),Industrial & Mfg Eng,Materials Eng,Electrical Eng,Bioengineering,Mechanical Eng,Chemical Eng,Other Eng,Civil Eng,Aerospace Eng,Physics,Other Physical Sci,Astronomy & Astrophysics,Chemistry,Materials Science,Ocean Sciences,Atmospheric Sci,Geological & Earth Sci,Other Geosciences,Mathematics & Statistics,Computer & Info Sciences,Other Life Sciences,Agricultural Sciences,Health Sciences,Biological & Biomedical Sci,Natural Resources,Psychology,Other Social Sciences,Sociology & Demography,Anthropology,Economics,Political Science,Other Sciences,Non-S&E
Washington University in St. Louis,30,1243115,,5996,6384,15747,,15144,532,23,,11130,,,11890,9347,,,7461,,1434,5731,,,649390,453547,108,10421,2632,231,1168,123,772,,33904
University of Texas at Austin,31,1143917,,27655,115571,14987,82381,54306,51248,49525,23276,29600,420,20224,23812,40175,12336,33,84156,4950,16287,155613,4836,188,82528,85083,7080,18518,4837,29347,1533,988,1336,4995,96093
"University of California, Berkeley",32,1126782,148,9645,122486,317,166,8722,40823,33706,,12917,12556,163465,53218,,,32,10837,,10358,15865,,7265,73655,145857,82580,21145,23258,11397,181,42756,23259,108057,92111
Massachusetts Institute of Technology,33,1065554,1228,39969,37663,102433,53949,64362,60863,15883,37539,74421,40005,36690,40393,7456,5569,18856,9500,5361,11667,121430,43542,1736,39934,46214,744,999,14054,,12,39656,4966,23659,64801
Icahn School of Medicine at Mount Sinai,34,1015600,,,,,,,,,,,,,,,,,,,,,,,550276,465324,,,,,,,,,
University of Arizona,35,1012404,8064,11956,58925,11675,4050,8134,8949,6864,3372,7219,,149959,12891,5150,2504,9322,29651,1318,8518,15770,11,81708,184791,259704,15111,11604,18600,6988,6469,5676,2380,14944,40127
"University of California, Davis",36,1005757,,3222,16318,20563,16764,4749,3309,39769,,12489,9161,,14176,,6784,,27608,704,4435,9848,351,267601,344770,155001,,4890,8102,396,956,1632,553,14219,17387
Arizona State University,37,1003271,30137,6138,62598,19930,10872,5750,94578,47300,6,14192,18666,,17516,,19633,540,64878,,2819,47710,17107,951,54769,113971,6161,18175,49549,10942,14248,7414,22335,28826,195560
Michigan State University,38,931848,,,22802,22680,10518,12187,15626,14883,,204720,,18,18117,,,,8133,260,15073,22279,15340,162352,88995,150696,17314,13605,19067,1692,2800,19743,3940,18045,50963
"Purdue University, West Lafayette",39,931513,10142,21574,87258,26675,68690,30700,66762,34530,46965,23112,,,42704,,,9577,,,2877,36754,916,161976,118410,31401,,5143,,2879,719,13992,1071,4398,82288
University of Illinois,40,906751,,35316,65014,23993,41102,25409,98002,41984,20724,45500,25,9056,39913,,,6635,10415,,4557,87866,,90118,8377,100601,53579,16212,8489,623,1554,1816,856,15584,53431
"Indiana University, Bloomington",41,896983,,,17821,,,,254,,,12402,,1696,21808,,,4046,1459,1747,2202,38091,2386,,506840,167060,,17464,15599,3656,2470,3520,15730,14295,46437
Baylor College of Medicine,42,881226,,,,,,,,,,,,,,,,,,,,,,,462958,418268,,,,,,,,,
University of Texas Southwestern Medical Center,43,869297,,,,11682,,,,,,,,,,,,,,,,,18195,,604740,233433,,1247,,,,,,,
University of Alabama at Birmingham,44,865868,,,2466,12678,5468,623,631,2284,6053,3818,,,3201,49,,,,,328,1238,,,600650,204343,,8443,212,219,,,,,13164
"Rutgers State University of New Jersey, New Brunswick",45,836800,1028,3881,6114,4464,5856,4707,28478,4198,,13522,559,2085,6681,558,27953,,6206,1404,7149,7570,12468,48269,353694,221515,2551,13727,3065,2474,384,1022,790,59,44369
"University of Virginia, Charlottesville",46,813772,3932,15779,14733,29757,13030,10398,31019,4271,,11784,,5001,18831,,,,,7424,2444,20769,,,303895,182005,,9296,4053,1984,256,1915,7217,660,113319
University of Utah,47,789271,,5501,41461,5905,10211,6986,6015,45932,,7220,,,18579,,,5755,8148,,3792,5279,18288,,439439,45199,,4794,899,18150,928,301,325,,90164
Boston University,48,784355,8112,2078,22098,45847,17526,58,16319,,2042,21286,,2952,23717,,10,,9386,,6099,25666,75,,246732,227552,,31819,9728,2141,969,2733,619,9263,49528
University of Colorado Anschutz Medical Campus,49,741643,,,,707,,,,,,3413,,,,,,112,,,,,562,2227,713358,9406,,1976,39,166,,,,12,9665
University of Cincinnati,50,739878,,,8959,7923,12849,6964,6804,9445,8542,5346,,,9817,,,,1736,,1563,5655,22187,,510486,68750,,9505,4376,3129,241,,1829,1189,32583
